segment,pdf_name
unsegmented,328_ASIANENE_30012026174957_AESLIntimationOilDiscovery_30thJan2026.png
unsegmented,32_INTERARCH1983_30012026223549_Intimation_under_regulation_30.png
unsegmented,333_MEESHO_30012026174750_MLShareholdersletter30Jan2026.png
unsegmented,33_ESSARSHPNG_30012026223059_ESL_CA_Reg_30_NCD_Redemption_300126sngd.png
unsegmented,340_lkwalimbe_bajajauto_co_in_30012026174614_SE_-_BACL_NCD_Listing.png
unsegmented,344_Crompton123_30012026174049_IntimationofProductLaunch.png
unsegmented,348_BANKBARODA_30012026173755_SENEWQ3.png
unsegmented,34_NTPC_30012026223053_20260130_STEX_COD_NGEL_Signed.png
unsegmented,355_NELCO_30012026173347_LettertoBSE_NSE.png
unsegmented,365_KANORICHEM_30012026172556_Letter.png
unsegmented,36_MEESHO_30012026222341_MLMonitoringagencyreport30Jan2026.png
unsegmented,373_JUPITER2023_30012026172033_Reg_30_JLHL_Dombivli_Hospital.png
unsegmented,381_ARROWGREEN_30012026171829_GrantOfPatent30012026.png
unsegmented,387_ARISINFRA2024_30012026171349_MonitoringAgencyQ3.png
unsegmented,388_GANDHAROIL_30012026170018_Outcomeofbmfinal_updated.png
unsegmented,38_CGPOWER_30012026221620_CG_Power_Limited_-_Reg_31A_8__-_Filing_of_Application_with_SE.png
unsegmented,403_FISCHER_30012026170736_INTIREG30.png
unsegmented,418_akshatjain_30012026165930_Performace_Snapshot_Q3_FY26.png
unsegmented,419_APCOTEXIND_30012026165928_Final_-_signed.png
unsegmented,422_WINDMACHIN_30012026165712_Covering_Letter_for_Monitoring_Agency_Report.png
unsegmented,427_BANKBARODA_30012026165413_presentation.png
unsegmented,432_INDIANB_30012026164804_SE_Transcript_Dec25.png
unsegmented,462_NACL2020_30012026163557_NAC_SODIPO_Q3.png
unsegmented,46_GICRE_30012026220030_SEIntimationchangeinSMPCVOAppointment30thJanuary2026.png
unsegmented,473_TOUCHWOOD_30012026163122_RSAC30DEC25.png
unsegmented,51_BLUESTARCO_30012026214956_FinancialsQ3FY26Communicationtoshareholders.png
unsegmented,60_SIMBHALS_30012026213741_final.png
unsegmented,61_BASFIL_30012026213532_SELetter300126signed.png
unsegmented,66_BSHSL_30012026211920_BSHSLR74.png
unsegmented,71_UFO_30012026210514_IntimationNoCApplicationReclassification.png
unsegmented,83_KSOLVES_30012026204810_SDD.png
unsegmented,84_KSOLVES_30012026204712_CertificateunderReg74forqtr3ended31122025.png
unsegmented,89_TRIVENI_30012026204044_TEIL_INV_BRIEF_DEC25.png
