pdf_file_name,this_quarter_total_income,previous_quarter_total_income,same_quarter_last_year_total_income,this_quarter_other_income,previous_quarter_other_income,same_quarter_last_year_other_income,this_quarter_expenses,previous_quarter_expenses,same_quarter_last_year_expenses,this_quarter_comprehensive_income,previous_quarter_comprehensive_income,same_quarter_last_year_comprehensive_income
197_PGHH_30012026140331_PGHH_OutcomeofBoardMeeting_31012026.pdf,127431.0,116007.0,125734.0,1241.0,990.0,971.0,87227.0,87829.0,89321.0,30266.0,21403.0,26207.0
200_NESTLEIND1_30012026135811_BSENSEOutcomeResults30012026signed.pdf,56787.5,56452.5,47841.7,nan,nan,nan,46676.3,46167.3,38619.1,1928.3,1928.3,964.2
201_NESTLEIND1_30012026140406_BSENSEOutcomeResults30012026signed.pdf,56787.5,56452.5,47841.7,nan,nan,nan,46676.3,46167.3,38619.1,1928.3,1928.3,964.2
205_BARBEQUE_30012026140116_OutcomeOfBM.pdf,3782.78,3128.38,3344.14,17.1,80.81,55.2,3217.6,2670.22,2673.74,-78.31,-245.58,43.57
205_BARBEQUE_30012026140116_OutcomeOfBM.pdf,2898.77,2378.42,2679.06,nan,nan,nan,nan,nan,nan,nan,nan,nan
208_ODIGMA_30012026135838_OdigmaOutcomeofBM30012026.pdf,956.26,1256.69,1016.76,48.3,34.09,3.14,1178.2,1274.65,1001.31,-147.71,12.06,13.91
209_BARBEQUE_30012026135543_OutcomeOfBM.pdf,3782.78,3128.38,3344.14,17.1,80.81,55.2,3217.6,2670.22,2673.74,-78.31,-245.58,43.57
209_BARBEQUE_30012026135543_OutcomeOfBM.pdf,2898.77,2378.42,2679.06,nan,nan,nan,nan,nan,nan,nan,nan,nan
210_SHARDACROP_30012026135748_NSE.pdf,3431.2,3219.03,2760.23,nan,nan,nan,nan,nan,nan,960.61,823.09,841.24
210_SHARDACROP_30012026135748_NSE.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
211_ODIGMA_30012026135727_OdigmaOutcomeofBM30012026.pdf,956.26,1256.69,1016.76,48.3,34.09,3.14,1178.2,1274.65,1001.31,-147.71,12.06,13.91
212_EXIDEIND_30012026135710_sdOUTCOMEBMJAN2026.pdf,4215.98,4418.17,4029.41,15.39,53.66,12.69,3922.81,4164.93,3791.49,148.44,-256.87,-601.63
214_WELCORP_30012026135418_FinalOutcomeResult31122025.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
215_NESTLEIND1_30012026135218_BSENSEOutcomeResults30012026signed.pdf,56787.5,56452.5,47841.7,nan,nan,nan,46676.3,46167.3,38619.1,1928.3,1928.3,964.2
216_NILASPACES_30012026135111_542231OutcomeBMResults30012026.pdf,5551.16,4673.36,3507.39,331.13,455.01,204.94,4348.22,3899.53,2987.38,816.78,533.06,374.29
217_NESTLEIND1_30012026134958_BSENSEOutcomeResults30012026signed.pdf,56787.5,56452.5,47841.7,nan,nan,nan,46676.3,46167.3,38619.1,1928.3,1928.3,964.2
218_ODIGMA_30012026134914_OdigmaOutcomeofBM30012026.pdf,956.26,1256.69,1016.76,48.3,34.09,3.14,1178.2,1274.65,1001.31,-147.71,12.06,13.91
219_PONNIERODE_30012026134632_PonniSugarsUFR31122025.pdf,15503.0,11471.0,11666.0,368.0,98.0,92.0,14476.0,9917.0,11405.0,61.0,-3122.0,-2833.0
219_PONNIERODE_30012026134632_PonniSugarsUFR31122025.pdf,15503.0,nan,11666.0,nan,nan,nan,nan,nan,nan,nan,nan,nan
220_EXIDEIND_30012026134842_sdOUTCOMEBMJAN2026.pdf,4215.98,4418.17,4029.41,15.39,53.66,12.69,3922.81,4164.93,3791.49,148.44,-256.87,-601.63
222_NILASPACES_30012026134721_542231OutcomeBMResults30012026.pdf,5551.16,4673.36,3507.39,331.13,455.01,204.94,4348.22,3899.53,2987.38,816.78,533.06,374.29
224_NILASPACES_30012026134538_542231OutcomeBMResults30012026.pdf,5551.16,4673.36,3507.39,331.13,455.01,204.94,4348.22,3899.53,2987.38,816.78,533.06,374.29
227_ODIGMA_30012026134225_OdigmaOutcomeofBM30012026.pdf,956.26,1256.69,1016.76,48.3,34.09,3.14,1178.2,1274.65,1001.31,-147.71,12.06,13.91
229_ASAHIINDIA_30012026134156_MR.pdf,118767.0,109386.0,106924.0,1069.0,1143.0,1502.0,104621.0,102703.0,96181.0,10390.0,4753.0,12667.0
229_ASAHIINDIA_30012026134156_MR.pdf,126639.0,116215.0,113870.0,1048.0,1093.0,1440.0,112147.0,109138.0,102962.0,10000.0,5829.0,10265.0
230_EXIDEIND_30012026134154_sdOUTCOMEBMJAN2026.pdf,4215.98,4418.17,4029.41,15.39,53.66,12.69,3922.81,4164.93,3791.49,148.44,-256.87,-601.63
235_yashpakka_30012026133909_BM_Outcome_30012026.pdf,-2,9976.76,7939.11,319.24,306.71,462.4,-2,8908.75,8140.69,754.98,-60.36,876.11
240_AIAENG_30012026133512_Results.pdf,124509.67,105951.02,97350.03,26572.61,9971.76,6551.38,71722.54,69408.6,69933.53,43220.22,28488.57,20197.37
243_ASAHIINDIA_30012026132800_MR.pdf,118767.0,109386.0,106924.0,1069.0,1143.0,1502.0,104621.0,102703.0,96181.0,10390.0,4753.0,12667.0
243_ASAHIINDIA_30012026132800_MR.pdf,126639.0,116215.0,113870.0,1048.0,1093.0,1440.0,112147.0,109138.0,102962.0,10000.0,5829.0,10265.0
244_AIAENG_30012026132841_Results.pdf,124509.67,105951.02,97350.03,26572.61,9971.76,6551.38,71722.54,69408.6,69933.53,43220.22,28488.57,20197.37
245_LALPATHLAB_30012026132710_FINALoutcomeJan2026.pdf,6587.0,7224.0,6005.0,266.0,228.0,313.0,5055.0,5276.0,4569.0,924.0,1470.0,1053.0
248_LALPATHLAB_30012026132516_FINALoutcomeJan2026.pdf,6587.0,7224.0,6005.0,266.0,228.0,313.0,5055.0,5276.0,4569.0,924.0,1470.0,1053.0
259_LALPATHLAB_30012026132227_FINALoutcomeJan2026.pdf,6587.0,7224.0,6005.0,266.0,228.0,313.0,5055.0,5276.0,4569.0,924.0,1470.0,1053.0
261_AIAENG_30012026132021_Results.pdf,124509.67,105951.02,97350.03,26572.61,9971.76,6551.38,71722.54,69408.6,69933.53,43220.22,28488.57,20197.37
262_LALPATHLAB_30012026131922_FINALoutcomeJan2026.pdf,6587.0,7224.0,6005.0,266.0,228.0,313.0,5055.0,5276.0,4569.0,924.0,1470.0,1053.0
267_LALPATHLAB_30012026131630_FINALoutcomeJan2026.pdf,6587.0,7224.0,6005.0,266.0,228.0,313.0,5055.0,5276.0,4569.0,924.0,1470.0,1053.0
276_NIITLTD_30012026131318_NIITQuickResults30012026.pdf,1185.0,1150.57,3484.32,135.55,169.46,580.02,1136.01,976.86,3246.18,25.94,135.84,115.18
278_NIITLTD_30012026130937_NIITQuickResults30012026.pdf,1185.0,1150.57,3484.32,135.55,169.46,580.02,1136.01,976.86,3246.18,25.94,135.84,115.18
310_ARVIND1_30012026124440_Arvindsigned.pdf,2384.65,2386.02,2099.77,12.01,14.88,10.56,2212.49,2237.22,1953.55,94.37,84.89,97.07
310_ARVIND1_30012026124440_Arvindsigned.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311_TNPL_30012026124554_320thBMNewspaper30012026CSDSC.pdf,1121.1,nan,1123.86,nan,nan,nan,nan,nan,nan,6.68,nan,-42.91
316_PSPPROJECT_30012026123227_20260130_Outcome_of_Board_Meeting_75.pdf,81667.15,70697.61,63398.7,387.79,411.06,377.69,79277.58,68458.78,62366.35,1746.63,1610.93,502.93
317_AEGISCHEM_30012026122950_ALL_Outcome_BM_30012026_S.pdf,180610.0,239002.0,176695.0,8070.0,9601.0,5996.0,150672.0,207982.0,156285.0,23320.0,24539.0,15940.0
318_WHEELS_30012026123045_WILReg47January_30_2026.pdf,3431.2,3219.03,2760.23,nan,nan,nan,nan,nan,nan,nan,nan,nan
321_PSPPROJECT_30012026122447_20260130_Outcome_of_Board_Meeting_75.pdf,81667.15,70697.61,63398.7,387.79,411.06,377.69,79277.58,68458.78,62366.35,1746.63,1610.93,502.93
351_HESTERBIO_30012026113700_20260130Q3_9MFY26PressRelease.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
365_HESTERBIO_30012026112613_20260130OutcomeofBoardMeeting.pdf,780.84,806.96,710.27,6.69,97.27,78.09,658.75,658.12,586.36,89.05,132.15,110.39
365_HESTERBIO_30012026112613_20260130OutcomeofBoardMeeting.pdf,713.89,660.54,641.29,nan,nan,nan,nan,nan,nan,108.51,71.17,44.33
368_BHAGYANGR_30012026112512_BILBOARDMEETINGOUTCOME30012026.pdf,159.33,324.39,142.5,69.08,79.16,103.7,143.54,152.43,123.79,nan,nan,nan
371_BHAGYANGR_30012026112148_BILBOARDMEETINGOUTCOME30012026.pdf,159.33,324.39,142.5,69.08,79.16,103.7,143.54,152.43,123.79,nan,nan,nan
42_AHFL2021_30012026155143_Full_Set_Dec25.pdf,94377.0,89926.0,79764.0,106.0,213.0,3.0,56808.0,55652.0,48996.0,28212.0,26533.0,23934.0
461_QUICKHEAL_29012026215239_OutcomeBoardMeeting.pdf,80.49,87.9,75.52,8.95,4.38,4.91,74.74,77.62,77.83,7.01,7.71,0.31
469_DIGITIDE_29012026214801_Digitide_Outcome.pdf,7836.94,7683.78,7379.3,33.91,41.89,53.0,7538.21,7428.08,6791.97,111.81,91.96,325.19
471_QUICKHEAL_29012026214427_OutcomeBoardMeeting.pdf,80.49,87.9,75.52,8.95,4.38,4.91,74.74,77.62,77.83,7.01,7.71,0.31
483_PRESTIGE_29012026211812_20260129212027013.pdf,38855.0,26978.0,16979.0,129.0,2661.0,434.0,36299.0,21256.0,16142.0,nan,nan,nan
483_PRESTIGE_29012026211812_20260129212027013.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
488_ACME122002_29012026210412_Outcome.pdf,6168.12,6013.66,4008.26,1200.19,1336.18,518.14,523.15,675.38,418.13,1137.95,1122.57,1122.83
50_NAVNETEDUL_30012026154312_NEL-LH-133.pdf,257.0,251.0,284.0,7.0,4.0,2.0,283.0,268.0,285.0,nan,nan,nan
60_NOIDATOLL_30012026153415_Corporateannouncement.pdf,2327.97,1166.59,1029.45,1268.54,114.62,38.22,805.18,782.21,1497.77,1523.01,384.31,-23717.03
62_KAJARIACER_30012026153444_Outcome.pdf,1179.92,1201.48,1165.92,11.66,15.47,10.3,1014.51,1020.23,1049.32,90.73,133.47,79.37
66_KAJARIACER_30012026153300_Outcome.pdf,1179.92,1201.48,1165.92,11.66,15.47,10.3,1014.51,1020.23,1049.32,90.73,133.47,79.37
72_KAJARIACER_30012026153013_Outcome.pdf,1179.92,1201.48,1165.92,11.66,15.47,10.3,1014.51,1020.23,1049.32,90.73,133.47,79.37
73_KAJARIACER_30012026152826_Outcome.pdf,1179.92,1201.48,1165.92,11.66,15.47,10.3,1014.51,1020.23,1049.32,90.73,133.47,79.37
75_KAJARIACER_30012026152639_Outcome.pdf,1179.92,1201.48,1165.92,11.66,15.47,10.3,1014.51,1020.23,1049.32,90.73,133.47,79.37
78_MSWIL_30012026152600_FINANCIALSDEC.pdf,2888.02,2762.67,2300.86,0.95,0.81,0.58,2688.48,2541.67,2116.22,152.23,165.67,138.93
80_KAJARIACER_30012026152339_Outcome.pdf,1179.92,1201.48,1165.92,11.66,15.47,10.3,1014.51,1020.23,1049.32,90.73,133.47,79.37
84_bharatsahu_30012026152132_SELetter_Outcome.pdf,4925.01,4443.81,4761.31,194.06,151.47,99.09,2793.37,2548.58,2639.41,1600.46,1444.06,1560.4
85_WINDMACHIN_30012026152100_Outcome_of_the_Board_Meeting_30012026.pdf,13586.71,13738.26,10850.25,2.58,74.5,84.85,13875.04,13392.56,10452.82,-450.9,439.28,4477.91
89_KAJARIACER_30012026152146_Outcome.pdf,1179.92,1201.48,1165.92,11.66,15.47,10.3,1014.51,1020.23,1049.32,90.73,133.47,79.37
