pdf_file_name,this_quarter_total_income,previous_quarter_total_income,same_quarter_last_year_total_income,this_quarter_other_income,previous_quarter_other_income,same_quarter_last_year_other_income,this_quarter_expenses,previous_quarter_expenses,same_quarter_last_year_expenses,this_quarter_comprehensive_income,previous_quarter_comprehensive_income,same_quarter_last_year_comprehensive_income
220_TRIVENI_30012026183817_TEIL_OUTCOME_BM_DEC25.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
221_SUBROS_30012026183625_Outcome30012026.pdf,95325.0,89934.0,82577.0,557.0,1951.0,479.0,90068.0,84485.0,77997.0,3511.0,4057.0,3250.0
230_NIACL_30012026183059_AccountsQ3FY26.pdf,1142864.0,1233969.0,1022968.0,-2,-2,-2,1151156.0,1301159.0,1052186.0,nan,nan,nan
232_TRIVENI_30012026183329_TEIL_OUTCOME_BM_DEC25.pdf,6865.58,6865.58,6865.58,57.64,57.64,57.64,6541.44,6541.44,6541.44,231.62,231.62,231.62
232_TRIVENI_30012026183329_TEIL_OUTCOME_BM_DEC25.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
232_TRIVENI_30012026183329_TEIL_OUTCOME_BM_DEC25.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
242_ASTERDM2_30012026183137_BoD_Outcome.pdf,-2,1213.73,1225.46,-2,27.97,28.25,-2,1073.64,1044.25,1011.0,56.6,121.52
242_ASTERDM2_30012026183137_BoD_Outcome.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
243_MANAKSIA_30012026183154_Outcome30012026.pdf,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3,-3
253_NIACL_30012026182604_AccountsQ3FY26.pdf,1142864.0,1233969.0,1022968.0,-2,-2,-2,1151156.0,1301159.0,1052186.0,nan,nan,nan
270_TFCILTD_30012026180938_TFCIBMOutcome3012026Signed.pdf,7059.0,6648.53,6414.05,-2,-2,-2,3025.34,2992.0,3260.9,3193.14,3248.0,2269.63
272_MEDPLUS_30012026180954_BMOutcome.pdf,18243.59,16967.98,15739.62,182.41,174.69,125.16,17510.72,16278.63,15173.62,577.88,555.02,458.7
283_BLUEDART_30012026180452_UFR-31Dec2025.pdf,162665.0,155892.0,152365.0,1049.0,959.0,1196.0,150376.0,144962.0,141439.0,8413.0,8138.0,7451.0
283_BLUEDART_30012026180452_UFR-31Dec2025.pdf,162665.0,155892.0,152365.0,1049.0,959.0,1196.0,150376.0,144962.0,141439.0,8413.0,8138.0,7451.0
300_CCCL_30012026180151_CCCLOUTCOM_O_BOAR_MEETING30012026.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
302_ASTEC_30012026180311_BSENSEBMOUTCOME30012026.pdf,7483.62,7483.62,7483.62,111.56,111.56,111.56,9924.36,9924.36,9924.36,-68.71,-68.71,-68.71
303_ASTEC_30012026180330_BSENSEBMOUTCOME30012026.pdf,7483.62,7483.62,7483.62,111.56,111.56,111.56,9924.36,9924.36,9924.36,-68.71,-68.71,-68.71
304_TRIVENI_30012026180241_TEIL_OUTCOME_BM_DEC25.pdf,6865.58,6865.58,6865.58,57.64,57.64,57.64,6541.44,6541.44,6541.44,231.62,231.62,231.62
304_TRIVENI_30012026180241_TEIL_OUTCOME_BM_DEC25.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
304_TRIVENI_30012026180241_TEIL_OUTCOME_BM_DEC25.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
306_TFCILTD_30012026175815_TFCIBMOutcome3012026Signed.pdf,7059.0,6648.53,6414.05,-2,-2,-2,3025.34,2992.0,3260.9,3193.14,3248.0,2269.63
311_TRIVENI_30012026175727_TEIL_OUTCOME_BM_DEC25.pdf,6865.58,6865.58,6865.58,57.64,57.64,57.64,6541.44,6541.44,6541.44,231.62,231.62,231.62
311_TRIVENI_30012026175727_TEIL_OUTCOME_BM_DEC25.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
311_TRIVENI_30012026175727_TEIL_OUTCOME_BM_DEC25.pdf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
